title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
삼성전자 갤럭시 S25 5G 256GB [자급제],https://search.shopping.naver.com/catalog/52628743819,https://shopping-phinf.pstatic.net/main_5262874/52628743819.20250131111032.jpg,1019710,,네이버,52628743819,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
아이폰 16 프로 256GB [자급제],https://search.shopping.naver.com/catalog/53599506392,https://shopping-phinf.pstatic.net/main_5359950/53599506392.20250317164908.jpg,1614000,,네이버,53599506392,1,Apple,Apple,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S25 5G 512GB [자급제],https://search.shopping.naver.com/catalog/52628743955,https://shopping-phinf.pstatic.net/main_5262874/52628743955.20250131110643.jpg,1154170,,네이버,52628743955,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S25 플러스 5G 512GB [자급제],https://search.shopping.naver.com/catalog/52628744198,https://shopping-phinf.pstatic.net/main_5262874/52628744198.20250220111438.jpg,1334000,,네이버,52628744198,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 Z 플립6 5G 256GB [자급제],https://search.shopping.naver.com/catalog/53598611154,https://shopping-phinf.pstatic.net/main_5359861/53598611154.20250317152516.jpg,1068990,,네이버,53598611154,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S25 울트라 5G 512GB [자급제],https://search.shopping.naver.com/catalog/52628834304,https://shopping-phinf.pstatic.net/main_5262883/52628834304.20250131133435.jpg,1647790,,네이버,52628834304,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S25 플러스 5G 256GB [자급제],https://search.shopping.naver.com/catalog/52628744097,https://shopping-phinf.pstatic.net/main_5262874/52628744097.20250131134732.jpg,1221730,,네이버,52628744097,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S25 울트라 5G 256GB [자급제],https://search.shopping.naver.com/catalog/52628756978,https://shopping-phinf.pstatic.net/main_5262875/52628756978.20250131132722.jpg,1547910,,네이버,52628756978,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S24 FE 5G 256GB [자급제],https://search.shopping.naver.com/catalog/53549707336,https://shopping-phinf.pstatic.net/main_5354970/53549707336.20250314155046.jpg,758400,,네이버,53549707336,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
[대여] 갤럭시 S 23울트라대여 단기 렌탈 1일대여,https://smartstore.naver.com/main/products/10107081691,https://shopping-phinf.pstatic.net/main_8765158/87651584460.9.jpg,7700,,우들폰,87651584460,2,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
삼성전자 갤럭시 S25 엣지 5G 512GB [자급제],https://search.shopping.naver.com/catalog/54743904288,https://shopping-phinf.pstatic.net/main_5474390/54743904288.20250513094515.jpg,1417910,,네이버,54743904288,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S24 5G 256GB [자급제],https://search.shopping.naver.com/catalog/53550050239,https://shopping-phinf.pstatic.net/main_5355005/53550050239.20250314164139.jpg,897940,,네이버,53550050239,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S23 SM-S911 미개봉,https://smartstore.naver.com/main/products/11635592628,https://shopping-phinf.pstatic.net/main_8918010/89180103073.jpg,195000,,폰도매플러스,89180103073,2,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
[대여] 갤럭시 S 25울트라대여 렌탈 1일 단기,https://smartstore.naver.com/main/products/11394190909,https://shopping-phinf.pstatic.net/main_8893870/88938701274.1.jpg,11800,,팬토리,88938701274,2,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
LG 엘지폴더폰2 Y120 Folder 2 효도폰 학생폰 공신폰 새제품 무약정,https://smartstore.naver.com/main/products/6656265700,https://shopping-phinf.pstatic.net/main_8420076/84200766022.3.jpg,28000,,콩콩굿몰,84200766022,2,LG전자,LG전자,디지털/가전,휴대폰,공기계/중고폰,
[국내정발] 레드미14C 샤오미자급제 초가성비폰 Redmi 14C 모든 LTE통신사 가능,https://smartstore.naver.com/main/products/10985541103,https://shopping-phinf.pstatic.net/main_8853004/88530047156.jpg,129600,,주식회사 에이루트,88530047156,2,샤오미,샤오미,디지털/가전,휴대폰,자급제폰,
삼성전자 중고스마트폴더폰 열공폰 효도폰 갤럭시폴더폰 G150,https://link.auction.co.kr/gate/pcs?item-no=B649108671&sub-id=1&service-code=10000003,https://shopping-phinf.pstatic.net/main_5418380/54183804955.jpg,64000,,옥션,54183804955,2,삼성,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
아이폰 15프로 256GB Apple 미개봉,https://smartstore.naver.com/main/products/11635604399,https://shopping-phinf.pstatic.net/main_8918011/89180114844.jpg,574000,,폰도매플러스,89180114844,2,Apple,Apple,디지털/가전,휴대폰,공기계/중고폰,
